Computer Name,Managed,OS,Model,Serial Number,Application Name,Application Usage
test,admin,Mac OS X 10.7,13-inch MacBook Pro (Mid 2010),W80532XGATG,Idle,2 Hours 48 Minutes
test,admin,Mac OS X 10.7,13-inch MacBook Pro (Mid 2010),W80532XGATG,Safari.app,17 Minutes
test,admin,Mac OS X 10.7,13-inch MacBook Pro (Mid 2010),W80532XGATG,Finder.app,8 Minutes
test,admin,Mac OS X 10.7,13-inch MacBook Pro (Mid 2010),W80532XGATG,Terminal.app,6 Minutes
test,admin,Mac OS X 10.7,13-inch MacBook Pro (Mid 2010),W80532XGATG,Adium.app,6 Minutes
test,admin,Mac OS X 10.7,13-inch MacBook Pro (Mid 2010),W80532XGATG,Installer.app,4 Minutes
test,admin,Mac OS X 10.7,13-inch MacBook Pro (Mid 2010),W80532XGATG,Mail.app,4 Minutes
test,admin,Mac OS X 10.7,13-inch MacBook Pro (Mid 2010),W80532XGATG,Xcode.app,1 Minute
test,admin,Mac OS X 10.7,13-inch MacBook Pro (Mid 2010),W80532XGATG,Evernote.app,1 Minute
test,admin,Mac OS X 10.7,13-inch MacBook Pro (Mid 2010),W80532XGATG,Automator.app,1 Minute
